id,campaign_id,central_claim,llm_backends,dataset,languages,veracity,veracity_confidence,member_count
nar_999,camp_0,"Geopolitical actors are navigating complex international relations involving Russia, Western influence, and national sovereignty.",bm25_rag,euvsdisinfo,English|Russian,,,3
nar_486,camp_0,Authorities are facing scrutiny over arrests related to election misinformation and legal proceedings concerning violent events.,bm25_rag,euvsdisinfo,EN|RU,,,3
nar_437,camp_1,"Russia is accused of military buildup and threatening naval operations near Ukraine, while Kyiv's exercises are viewed as provocative.",bm25_rag,euvsdisinfo,ARABIC|RU,,,3
nar_466,camp_1,"Political tensions, EU sanctions against Russia, and calls for Czech exit reflect deep geopolitical instability.",bm25_rag,euvsdisinfo,EN|RU,,,3
nar_58,camp_2,Poroshenko's political maneuvering involves secret agreements and external pressures related to the Donbas conflict.,bm25_rag,euvsdisinfo,Russian|Ukrainian,,,3
nar_463,camp_2,"Misinformation circulates regarding Turkish involvement, election fraud, US biological warfare testing, and Ukraine's economic challenges.",bm25_rag,euvsdisinfo,ARABIC|EN|RU,,,4
nar_503,camp_3,"The provided claims cover unrelated topics, making a single central narrative impossible to construct.",bm25_rag,euvsdisinfo,ARABIC|EN|UK,,,5
nar_863,camp_3,"Russia uses military actions and disinformation to shield its interests in Ukraine, Syria, and beyond.",bm25_rag,euvsdisinfo,English|Russian,,,3
nar_361,camp_4,Disinformation narratives link political figures' health to geopolitical conflicts involving Russia and Ukraine.,bm25_rag,euvsdisinfo,ARABIC|EN,,,3
nar_148,camp_4,Misinformation falsely links media ownership to George Soros while exaggerating the global impact of the Ukraine war.,bm25_rag,euvsdisinfo,Czech|English|Russian,,,3
nar_668,camp_5,"Geopolitical tensions are escalating, while global power dynamics are shifting away from Western dominance.",bm25_rag,euvsdisinfo,ARABIC|EN|ES|RU,,,4
nar_845,camp_5,External sanctions and interference are driving Syria's economic collapse and humanitarian crisis.,bm25_rag,euvsdisinfo,Arabic|German,,,3
nar_943,camp_6,"Disinformation targets Ukrainian political figures amid geopolitical tensions, while severe weather disrupts Russian cities.",bm25_rag,euvsdisinfo,Russian,,,3
nar_455,camp_6,"Official reports about James Forrestal's death are incomplete and flawed, while disinformation challenges electoral faith.",bm25_rag,euvsdisinfo,EN,,,3
nar_305,camp_7,"Western policies are misleading, while evidence suggests internal causes for events like MH17 and a shift in Europe-Russia relations.",bm25_rag,euvsdisinfo,Arabic|Russian,,,3
nar_527,camp_7,Russian narratives claim US-backed biolabs threaten borders while actively sowing discord through media campaigns.,bm25_rag,euvsdisinfo,EN|RU,,,3
nar_856,camp_8,"The provided claims cover unrelated topics: Swiss financial regulation, international sporting events, and historical persecution.",bm25_rag,euvsdisinfo,Georgian,,,3
nar_899,camp_8,"European water scarcity, geopolitical tensions, and internal political divisions are shaping current regional instability.",bm25_rag,euvsdisinfo,English|Russian,,,3
nar_287,camp_9,Russia deflects external aggression by blaming US interference and internal Ukrainian corruption.,bm25_rag,euvsdisinfo,English|Russian,,,3
nar_230,camp_9,Western powers are accused of misrepresenting aid delivery and unfairly blaming Russia for incidents.,bm25_rag,euvsdisinfo,English|Russian|Spanish,,,3
nar_924,camp_10,Russia's actions and regional dynamics are linked to historical revisionism and geopolitical instability.,bm25_rag,euvsdisinfo,English|Russian,,,3
nar_628,camp_10,The EU faces criticism for inadequate crisis support while geopolitical maneuvering involves Russia and Slovakia facilitating trade.,bm25_rag,euvsdisinfo,EN|FR|RU,,,3
nar_167,camp_11,Geopolitical tensions are fueling narratives about alleged poisonings and disinformation campaigns targeting vaccines.,bm25_rag,euvsdisinfo,Arabic|Russian,,,3
nar_41,camp_11,"Misinformation narratives span geopolitical threats, US decline, and alleged media cover-ups regarding political figures.",bm25_rag,euvsdisinfo,Arabic|English|Russian,,,3
nar_997,camp_12,Military actions in Syria and Ukraine involve the alleged use of banned weaponry causing significant civilian damage.,bm25_rag,euvsdisinfo,English,,,3
nar_404,camp_12,External interference and contamination are being used to frame military exercises and public health issues.,bm25_rag,euvsdisinfo,ARABIC|EN,,,3
nar_973,camp_13,"These claims assert the validity of specific national decisions, refute election fraud allegations, and deny false conflict narratives.",bm25_rag,euvsdisinfo,Arabic|English|Lithuanian,,,3
nar_214,camp_13,"Geopolitical tensions involve Russia, Ukraine, and the EU's strategic direction.",bm25_rag,euvsdisinfo,Arabic|English|Russian,,,3
nar_204,camp_14,Russian forces allegedly suppressed protests while a tornado caused severe damage in the Urals region.,bm25_rag,euvsdisinfo,English|Russian,,,3
nar_960,camp_14,"Russia views NATO as a militarist threat, escalating tensions through military exercises and alleged incidents in Ukraine.",bm25_rag,euvsdisinfo,English|Russian,,,3
nar_458,camp_15,Elites are allegedly exploiting the pandemic and geopolitical events to consolidate power by discrediting alternative vaccines.,bm25_rag,euvsdisinfo,ARABIC|RU,,,3
nar_240,camp_15,"The claims link sophisticated threats, political actions, and international conflicts involving military transfers.",bm25_rag,euvsdisinfo,English|Russian,,,3
nar_886,camp_16,"Western powers and the US are accused of interfering in Russia's affairs, including poisoning Navalny and destabilizing regions.",bm25_rag,euvsdisinfo,Arabic|English|Spanish,,,4
nar_664,camp_17,"Despite some biological adaptation, accelerating ice loss and climate impacts are occurring despite low climate sensitivity findings.",bm25_rag,euvsdisinfo,EN,,,3
nar_405,camp_16,Russian authorities are accused of human rights violations while asserting their actions as a defense against perceived threats.,bm25_rag,euvsdisinfo,EN|HUNGARIAN|RU,,,3
nar_576,camp_17,Authoritarian regimes are using violence and repression against their own citizens.,bm25_rag,euvsdisinfo,ARABIC|EN,,,3
