id,label,central_claim,llm_backends,dataset,languages,veracity,veracity_confidence,coordination_score,n1_burst,n2_coamp,n3_reuse,n4_crosslingual,member_count
camp_332,Organic Trend,"Brexit-related logistical issues are causing fuel shortages in the UK, despite political statements against Nord Stream 2.",bm25_rag,euvsdisinfo,English|Russian|Spanish|Ukrainian,,,0.0,,,,,2
camp_123,Organic Trend,"Elite actions and systemic issues are driving global crises, while energy solutions require nuclear power.",bm25_rag,euvsdisinfo,ARABIC|EN|FR|RU,,,0.0,,,,,2
camp_416,Organic Trend,Allegations of human remains in construction and technical setbacks are being disputed or reported across various domains.,bm25_rag,euvsdisinfo,ARABIC|EN|RU,,,0.0,,,,,2
camp_328,Organic Trend,The government is actively managing public information while advancing key national infrastructure and social projects.,bm25_rag,euvsdisinfo,ARABIC|EN|English|Russian,,,0.0,,,,,3
camp_317,Organic Trend,"Geopolitical tensions and alleged foreign interference are fueling domestic crises in Kosovo, Germany, and Ukraine.",bm25_rag,euvsdisinfo,English|French|Russian|Serbian,,,0.0,,,,,2
camp_108,Organic Trend,"Globalist narratives attempt to undermine Europe and the US, often using Ukraine as a central focus.",bm25_rag,euvsdisinfo,Arabic|English|Russian|Ukrainian,,,0.0,,,,,2
camp_183,Organic Trend,"The Skripal case narrative is intertwined with political distractions, Russian obfuscation, and Ukrainian political commentary.",bm25_rag,euvsdisinfo,ARABIC|EN|FR|RU,,,0.0,,,,,2
camp_250,Organic Trend,European and international political instability is characterized by internal disputes and external geopolitical threats.,bm25_rag,euvsdisinfo,EN,,,0.0,,,,,2
camp_26,Organic Trend,"Russia alleges the West is orchestrating a hybrid war against it, using Ukraine as a proxy to undermine its security.",bm25_rag,euvsdisinfo,ARABIC|Arabic|DE|EN|English|RU,,,0.0,,,,,3
camp_136,Organic Trend,Government decrees and legal mandates establish the minimum wage and require formal authorization for compliance.,bm25_rag,euvsdisinfo,EN|RU,,,0.0,,,,,2
camp_59,Organic Trend,Russian speakers in post-Soviet states face rights issues amid political disagreements and public dissatisfaction.,bm25_rag,euvsdisinfo,Arabic|English|Russian,,,0.0,,,,,2
camp_0,Organic Trend,"Geopolitical actors are navigating complex international relations involving Russia, Western influence, and national sovereignty.",bm25_rag,euvsdisinfo,EN|English|RU|Russian,,,0.0,,,,,2
camp_74,Organic Trend,"Regional actors warn that NATO expansion, Iranian ambitions, and Israeli occupation fuel escalating conflict.",bm25_rag,euvsdisinfo,ARABIC|Arabic|English|RU|Russian,,,0.0,,,,,2
camp_396,Organic Trend,Western powers allegedly seek to divide Ukraine and exploit its conflict for geopolitical and financial gain.,bm25_rag,euvsdisinfo,English|Georgian|RU|Russian|Ukrainian,,,0.0,,,,,3
camp_303,Organic Trend,Foreign actors are allegedly using disinformation to provoke conflict and undermine democratic processes in Eastern Europe.,bm25_rag,euvsdisinfo,DE|EN|RU,,,0.0,,,,,2
camp_41,Organic Trend,US policy towards Ukraine and Russia is shifting amid internal political debates and changing geopolitical realities.,bm25_rag,euvsdisinfo,ARABIC|EN|RU|SERBIAN,,,0.0,,,,,2
camp_337,Organic Trend,"The provided claims cover diverse topics, including genetic modification, political parties, Moldovan politics, visa policies, and Crimean Tatar issues.",bm25_rag,euvsdisinfo,EN|HUNGARIAN|RU,,,0.0,,,,,2
camp_366,Organic Trend,"Investigations into the MH17 crash are shifting blame, suggesting innocence despite sanctions impacting airlines.",bm25_rag,euvsdisinfo,EN|English|Romanian|Ukrainian,,,0.0,,,,,2
camp_382,Organic Trend,"Political actions and disinformation campaigns are undermining global narratives regarding vaccination, elections, and past tragedies.",bm25_rag,euvsdisinfo,EN|English|RU,,,0.0,,,,,2
camp_84,Organic Trend,"Climate change science is disputed, with claims challenging data accuracy and the viability of renewable energy solutions.",bm25_rag,euvsdisinfo,EN|ES|English,,,0.0,,,,,3
camp_292,Organic Trend,External factors and instability complicate international oversight of the Zaporizhzhia NPP and travel advisories.,bm25_rag,euvsdisinfo,ARMENIAN|EN|RU|Russian,,,0.0,,,,,2
camp_432,Organic Trend,Foreign actors are allegedly funding political campaigns and orchestrating movements to influence elections and territorial claims.,bm25_rag,euvsdisinfo,Arabic|English|Russian,,,0.0,,,,,2
camp_318,Organic Trend,Geopolitical tensions require strong Western responses while economic integration faces internal and external pressures.,bm25_rag,euvsdisinfo,English|Russian|Ukrainian,,,0.0,,,,,2
camp_247,Organic Trend,"External powers manipulate Ukraine to provoke conflict, challenging Russia's interests and leading to military escalation.",bm25_rag,euvsdisinfo,ARABIC|English|RU,,,0.0,,,,,2
camp_234,Organic Trend,"The provided claims touch upon historical persecution, contemporary political repression, and differing views on societal safety.",bm25_rag,euvsdisinfo,Arabic|EN|English|Russian,,,0.0,,,,,2
camp_32,Organic Trend,Nationalist and isolationist forces are destabilizing the EU while geopolitical shifts demand European cooperation.,bm25_rag,euvsdisinfo,English|German|RU|Russian,,,0.0,,,,,2
